"city","minute","carNow","transitNow","activeNow","populationChange","vsDailyAverage","routeDerivedCarPopulation","curveCarPopulationSameCoverage"
"geneva","640","80","259","24","132721","76843","93216","92585"
"geneva","645","44","259","24","132825","76947","93252","92659"
"geneva","650","25","259","24","132916","77038","93271","92725"
"geneva","655","13","164","24","132997","77119","93283","92783"
"geneva","660","5","164","24","133067","77189","93291","92834"
"geneva","665","2","164","24","133129","77251","93294","92879"
"geneva","670","1","146","24","133183","77305","93295","92918"
"geneva","675","0","0","0","133230","77352","93296","92951"
"geneva","680","0","0","0","133270","77392","93296","92980"
"geneva","685","0","0","0","133304","77426","93296","93005"
"geneva","690","0","0","0","133333","77455","93296","93025"
"geneva","695","0","0","0","133357","77479","93296","93042"
"geneva","700","0","0","0","133376","77498","93296","93056"
"geneva","705","0","0","0","133391","77513","93296","93066"
"geneva","710","0","0","0","133402","77524","93296","93074"
"geneva","715","0","0","0","133409","77531","93296","93078"
"geneva","720","0","0","0","133412","77534","93296","93080"
"geneva","725","0","0","0","133412","77534","93296","93079"
"geneva","730","0","0","0","133408","77530","93296","93076"
"geneva","735","0","0","0","133400","77522","93296","93069"
"geneva","740","0","0","0","133389","77511","93296","93060"
"geneva","745","0","0","0","133374","77496","93296","93049"
"geneva","750","0","0","0","133355","77477","93296","93034"
"geneva","755","0","0","0","133332","77454","93296","93016"
"geneva","760","0","0","0","133305","77427","93296","92995"
"geneva","765","0","0","0","133273","77395","93296","92971"
"geneva","770","0","0","0","133236","77358","93296","92943"
"geneva","775","0","0","0","133194","77316","93296","92911"
"geneva","780","0","0","0","133146","77268","93296","92875"
"geneva","785","0","0","0","133092","77214","93296","92834"
"geneva","790","0","0","0","133031","77153","93296","92789"
"geneva","795","0","0","0","132962","77084","93296","92737"
"geneva","800","0","0","0","132884","77006","93296","92679"
"geneva","805","0","0","0","132798","76920","93296","92615"
"geneva","810","0","0","0","132701","76823","93296","92543"
"geneva","815","0","0","0","132594","76716","93296","92463"
"geneva","820","0","0","0","132473","76595","93296","92375"
"geneva","825","0","0","0","132339","76461","93296","92276"
"geneva","830","0","0","0","132190","76312","93296","92166"
"geneva","835","0","0","0","132024","76146","93296","92044"
"geneva","840","0","0","0","131839","75961","93296","91909"
"geneva","845","0","0","0","131633","75755","93296","91759"
"geneva","850","0","0","0","131405","75527","93296","91593"
"geneva","855","0","0","0","131151","75273","93296","91409"
